[2x3] JJ | Solutions: 0 | Best: -1 | Time: 0.05ms
[6x6] ACCC.IJ | Solutions: 0 | Best: -1 | Time: 101.36ms (Timeout)
[6x6] AAAAAA | Solutions: 25000 | Best: 6 | Time: 101.18ms (Timeout)
[2x6] AA | Solutions: 16 | Best: 2 | Time: 0.04ms
[5x4] IIK. | Solutions: 0 | Best: -1 | Time: 101.03ms (Timeout)
[2x2] A | Solutions: 0 | Best: -1 | Time: 0.05ms
[5x6] IIIIII | Solutions: 0 | Best: -1 | Time: 101.06ms (Timeout)
[1x6] A | Solutions: 2 | Best: 1 | Time: 0.02ms
[7x3] AIII | Solutions: 0 | Best: -1 | Time: 101.17ms (Timeout)
[3x7] AIII | Solutions: 0 | Best: -1 | Time: 42.99ms
[4x4] .... | Solutions: 0 | Best: -1 | Time: 27.93ms
[4x4] IIII | Solutions: 0 | Best: -1 | Time: 18.55ms
[4x4] .... | Solutions: 0 | Best: -1 | Time: 47.20ms
[5x4] .... | Solutions: 0 | Best: -1 | Time: 72.29ms
[3x6] AAA | Solutions: 288 | Best: 3 | Time: 0.59ms
[5x5] KKKKK | Solutions: 0 | Best: -1 | Time: 101.11ms (Timeout)
[4x4] .... | Solutions: 0 | Best: -1 | Time: 4.49ms
[5x5] JJJJJ | Solutions: 0 | Best: -1 | Time: 101.02ms (Timeout)
[6x1] A | Solutions: 2 | Best: 1 | Time: 0.03ms
[6x5] FFFFFF | Solutions: 0 | Best: -1 | Time: 101.12ms (Timeout)
[5x5] CCCCC | Solutions: 0 | Best: -1 | Time: 101.04ms (Timeout)
[5x4] .... | Solutions: 0 | Best: -1 | Time: 98.19ms
[1x1] . | Solutions: 0 | Best: -1 | Time: 0.03ms
[4x5] FFFF | Solutions: 0 | Best: -1 | Time: 101.08ms (Timeout)
[4x4] OOOO | Solutions: 0 | Best: -1 | Time: 19.53ms
[2x3] JJ | Solutions: 0 | Best: -1 | Time: 0.05ms
[6x6] ACCC.IJ | Solutions: 0 | Best: -1 | Time: 101.25ms (Timeout)
[6x6] AAAAAA | Solutions: 23300 | Best: 6 | Time: 101.07ms (Timeout)
[2x6] AA | Solutions: 16 | Best: 2 | Time: 0.04ms
[5x4] IIK. | Solutions: 0 | Best: -1 | Time: 101.04ms (Timeout)
[2x2] A | Solutions: 0 | Best: -1 | Time: 0.05ms
[5x6] IIIIII | Solutions: 0 | Best: -1 | Time: 101.08ms (Timeout)
[1x6] A | Solutions: 2 | Best: 1 | Time: 0.03ms
[7x3] AIII | Solutions: 0 | Best: -1 | Time: 101.03ms (Timeout)
[3x7] AIII | Solutions: 0 | Best: -1 | Time: 45.29ms
[4x4] .... | Solutions: 0 | Best: -1 | Time: 30.58ms
[4x4] IIII | Solutions: 0 | Best: -1 | Time: 17.89ms
[4x4] .... | Solutions: 0 | Best: -1 | Time: 52.79ms
[5x4] .... | Solutions: 0 | Best: -1 | Time: 75.98ms
[3x6] AAA | Solutions: 288 | Best: 3 | Time: 0.64ms
[8x16] AAACC..FFIIJJKK......OO.. | Solutions: 0 | Best: -1 | Time: 107.08ms (Timeout)
[5x5] KKKKK | Solutions: 0 | Best: -1 | Time: 101.19ms (Timeout)
[4x4] .... | Solutions: 0 | Best: -1 | Time: 4.55ms
[5x5] JJJJJ | Solutions: 0 | Best: -1 | Time: 101.17ms (Timeout)
[6x1] A | Solutions: 2 | Best: 1 | Time: 0.02ms
[6x5] FFFFFF | Solutions: 0 | Best: -1 | Time: 101.07ms (Timeout)
[5x5] CCCCC | Solutions: 0 | Best: -1 | Time: 101.04ms (Timeout)
[5x4] .... | Solutions: 0 | Best: -1 | Time: 101.01ms (Timeout)
[1x1] . | Solutions: 0 | Best: -1 | Time: 0.04ms
[4x5] FFFF | Solutions: 0 | Best: -1 | Time: 101.19ms (Timeout)
[4x4] OOOO | Solutions: 0 | Best: -1 | Time: 20.09ms
[2x3] JJ | Solutions: 0 | Best: -1 | Time: 0.03ms
[6x6] ACCC.IJ | Solutions: 0 | Best: -1 | Time: 101.05ms (Timeout)
[6x6] AAAAAA | Solutions: 61136 | Best: 6 | Time: 101.04ms (Timeout)
[2x6] AA | Solutions: 16 | Best: 2 | Time: 0.04ms
[5x4] IIK. | Solutions: 0 | Best: -1 | Time: 3.19ms
[2x2] A | Solutions: 0 | Best: -1 | Time: 0.02ms
[5x6] IIIIII | Solutions: 0 | Best: -1 | Time: 101.02ms (Timeout)
[1x6] A | Solutions: 2 | Best: 1 | Time: 0.03ms
[7x3] AIII | Solutions: 0 | Best: -1 | Time: 1.27ms
[3x7] AIII | Solutions: 0 | Best: -1 | Time: 0.70ms
[4x4] .... | Solutions: 0 | Best: -1 | Time: 0.44ms
[4x4] IIII | Solutions: 0 | Best: -1 | Time: 0.32ms
[4x4] .... | Solutions: 0 | Best: -1 | Time: 0.83ms
[5x4] .... | Solutions: 0 | Best: -1 | Time: 1.41ms
